,Unnamed: 0,French,English
0,0,partie,part
1,1,histoire,history
2,2,chercher,search
3,3,seulement,only
4,4,police,police
5,5,pensais,thought
6,6,aide,help
7,7,demande,request
8,8,genre,kind
9,9,mois,month
10,10,frère,brother
11,12,car,because
12,13,mettre,to put
13,14,aucun,no
14,15,laisse,leash
15,16,eux,them
16,17,ville,city
17,18,chaque,each
18,19,parlé,speak
19,20,arrivé,come
20,21,devrait,should
21,22,bébé,baby
22,23,longtemps,long time
23,24,heures,hours
24,25,vont,will
25,26,pendant,while
26,27,revoir,meet again
27,28,aucune,any
28,29,place,square
29,30,parle,speak
30,31,compris,understood
31,32,savais,knew
32,33,étaient,were
33,34,attention,Warning
34,35,voici,here is
35,36,pourrais,could
36,37,affaire,case
37,38,donner,give
38,39,type,type
39,40,leurs,their
40,41,donné,given
41,42,train,train
42,43,corps,body
43,44,endroit,place
44,45,yeux,eyes
45,46,façon,way
46,47,écoute,listen
47,48,dont,whose
48,49,trouve,find
49,50,premier,first
50,51,perdu,lost
51,52,main,hand
52,53,première,first
53,54,côté,side
54,55,pouvoir,power
55,56,vieux,old
56,57,sois,be
57,58,tiens,here
58,59,matin,morning
59,60,enfant,child
60,61,point,point
61,62,venu,came
62,63,suite,after
63,64,pardon,sorry
64,65,venez,come
65,66,devant,in front of
66,67,vers,towards
67,68,minutes,minutes
68,69,demandé,request
69,70,chambre,bedroom
70,71,mis,placed
71,72,belle,beautiful
72,73,droit,law
73,74,aimerais,would like to
74,75,aujourd'hui,today
75,76,mari,husband
76,77,cause,cause
77,78,enfin,finally
78,79,espère,hope
79,80,eau,water
80,81,attendez,Wait
81,82,parti,left
82,83,nouvelle,new
83,84,boulot,job
84,85,arrêter,Stop
85,86,dirait,would say
86,87,terre,Earth
87,88,compte,account
88,89,donne,given
89,90,loin,far
90,91,fin,end
91,92,croire,believe
92,93,chérie,sweetheart
93,94,gros,large
94,95,plutôt,rather
95,96,aura,will have
96,97,filles,girls
97,98,jouer,to play
98,99,bureau,office
